SECTOR_SLUG,SECTOR_NAME,EXCHANGE,SYMBOL,COMPANY_NAME,MARKET_CAP_CR,PE
"agriculture","Agriculture","NSE","BBTC","Bombay Burmah Trdg.","10,532","8.48"
"agriculture","Agriculture","NSE","JKPAPER","JK Paper","6,940","21.39"
"agriculture","Agriculture","NSE","KSCL","Kaveri Seed","4,010","13.56"
"agriculture","Agriculture","NSE","WSTCSTPAPR","West Coast PaperMill","3,780","25.1"
"agriculture","Agriculture","NSE","JUBLCPL","Jubilant Agri & Con.","2,842","22.23"
"agriculture","Agriculture","NSE","VENKEYS","Venky's (India)","2,205","16.14"
"agriculture","Agriculture","BSE","KSSMART","KS Smart Techno.","1,870","--"
"agriculture","Agriculture","NSE","SESHAPAPER","Seshasayee Paper","1,488","14.58"
"agriculture","Agriculture","NSE","ANDHRAPAP","Andhra Paper","1,236","44.75"
"agriculture","Agriculture","NSE","TNPL","TN Newsprints &Paper","1,064","4.3"
"agriculture","Agriculture","NSE","PDMJEPAPER","Pudumjee Paper Prod.","919","9.82"
"agriculture","Agriculture","NSE","BSHSL","Bombay Super Hybrid","895","33.56"
"agriculture","Agriculture","NSE","FRESHARA","Freshara Agro Export","872","24.08"
"agriculture","Agriculture","BSE","NRAIL","NR Agarwal Inds.","817","18.69"
"agriculture","Agriculture","BSE","APIS","Apis India","766","30.24"
"agriculture","Agriculture","BSE","META","String Metaverse","759","7.4"
"agriculture","Agriculture","NSE","KUANTUM","Kuantum Papers","691","16.46"
"agriculture","Agriculture","BSE","EMAMIPAP","Emami Paper Mills","689","7.35"
"agriculture","Agriculture","BSE","SATIA","Satia Industries","626","15.31"
"agriculture","Agriculture","BSE","SUBAM","Subam Papers","609","56.52"
"agriculture","Agriculture","BSE","PRABHATAM","Prabhatam Infra Vent","557","--"
"agriculture","Agriculture","NSE","RAMANEWS","Shree Rama News","500","--"
"agriculture","Agriculture","NSE","MGEL","Mangalam Global Ent.","498","10.73"
"agriculture","Agriculture","NSE","BBTCL","B&B Triplewall Cont.","459","22.23"
"agriculture","Agriculture","BSE","MEGAMONT","Megamont","426","--"
"agriculture","Agriculture","NSE","KOTYARK","Kotyark Industries","424","22.56"
"agriculture","Agriculture","NSE","ORIENTPPR","Orient Paper & Inds.","404","--"
"agriculture","Agriculture","NSE","HARRMALAYA","Harrisons Malayalam","398","13.67"
"agriculture","Agriculture","BSE","TRANSCHEM","Transchem","383","89.07"
"agriculture","Agriculture","NSE","SHEETAL","Sheetal Universal","369","32.09"
"agriculture","Agriculture","BSE","PAKKA","Pakka","343","9.15"
"agriculture","Agriculture","NSE","GENUSPAPER","Genus Paper & Boards","328","33.99"
"agriculture","Agriculture","BSE","RUCHIRA","Ruchira Papers","327","7.4"
"agriculture","Agriculture","NSE","NATHBIOGEN","Nath Bio-Genes (I)","312","8.52"
"agriculture","Agriculture","BSE","SCAGRO","SC Agrotech","288","86.1"
"agriculture","Agriculture","BSE","SAPPL","Shree AjitPulp&Paper","254","8.47"
"agriculture","Agriculture","BSE","TIERRA","Tierra Agrotech","250","--"
"agriculture","Agriculture","NSE","WORTHPERI","Worth Peripherals","239","15.54"
"agriculture","Agriculture","NSE","STARPAPER","Star Paper Mills","236","7.21"
"agriculture","Agriculture","BSE","SIPAPER","South India Paper","197","13.36"
"agriculture","Agriculture","NSE","SHREYANIND","Shreyans Industries","194","29.96"
"agriculture","Agriculture","NSE","NIKITA","Nikita Greentech","182","16.37"
"agriculture","Agriculture","BSE","INDOUS","Indo US Bio-Tech","166","12.68"
"agriculture","Agriculture","BSE","MSL","Mangalam Seeds","154","18.76"
"agriculture","Agriculture","BSE","WESTERNBIO","Ecoboard Industries","148","--"
"agriculture","Agriculture","BSE","JKAGRI","JK Agri Genetics","145","--"
"agriculture","Agriculture","NSE","RAJPUTANA","Rajputana Biodiesel","143","15.76"
"agriculture","Agriculture","BSE","SKPMIL","Shree Krishna Papers","139","7.16"
"agriculture","Agriculture","NSE","SHEEL","Sheel Biotech","139","11.86"
"agriculture","Agriculture","NSE","MAGNUM","Magnum Ventures","137","--"
"agriculture","Agriculture","BSE","SCOOBEEDAY","Scoobee Day Garments","121","--"
"agriculture","Agriculture","NSE","NARMADA","Narmada Agrobase","121","31.47"
"agriculture","Agriculture","BSE","KANELOIL","Kanel Industries","105","--"
"agriculture","Agriculture","BSE","GANGAPA","Ganga Papers India","104","64.77"
"agriculture","Agriculture","NSE","AARADHYA","Aaradhya Disposal","104","17.13"
"agriculture","Agriculture","BSE","NAPL","Naturite Agro Prod.","104","--"
"agriculture","Agriculture","BSE","RDGAIL","Rukmani Devi Garg","98","10.99"
"agriculture","Agriculture","NSE","OSWALSEEDS","Shree Oswal Seeds","96","13.26"
"agriculture","Agriculture","BSE","NATHIND","Nath Industries","92","13.82"
