SECTOR_SLUG,SECTOR_NAME,EXCHANGE,SYMBOL,COMPANY_NAME,MARKET_CAP_CR,PE
"agriculture","Agriculture","NSE","BBTC","Bombay Burmah Trdg.","10,216","7.92"
"agriculture","Agriculture","NSE","JKPAPER","JK Paper","6,908","21.31"
"agriculture","Agriculture","NSE","WSTCSTPAPR","West Coast PaperMill","3,997","17.4"
"agriculture","Agriculture","NSE","KSCL","Kaveri Seed","3,972","15.91"
"agriculture","Agriculture","NSE","JUBLCPL","Jubilant Agri & Con.","3,566","27.47"
"agriculture","Agriculture","NSE","VENKEYS","Venky's (India)","2,154","12.42"
"agriculture","Agriculture","BSE","KSSMART","KS Smart Techno.","1,717","--"
"agriculture","Agriculture","NSE","SESHAPAPER","Seshasayee Paper","1,437","14.52"
"agriculture","Agriculture","NSE","ANDHRAPAP","Andhra Paper","1,193","43.19"
"agriculture","Agriculture","BSE","META","String Metaverse","994","8.19"
"agriculture","Agriculture","NSE","TNPL","TN Newsprints &Paper","976","3.74"
"agriculture","Agriculture","NSE","BSHSL","Bombay Super Hybrid","924","32.2"
"agriculture","Agriculture","BSE","NRAIL","NR Agarwal Inds.","870","14.01"
"agriculture","Agriculture","NSE","PDMJEPAPER","Pudumjee Paper Prod.","836","9.18"
"agriculture","Agriculture","NSE","FRESHARA","Freshara Agro Export","803","22.16"
"agriculture","Agriculture","BSE","APIS","Apis India","758","29.93"
"agriculture","Agriculture","NSE","KUANTUM","Kuantum Papers","702","19.44"
"agriculture","Agriculture","BSE","EMAMIPAP","Emami Paper Mills","686","7.32"
"agriculture","Agriculture","BSE","SATIA","Satia Industries","592","--"
"agriculture","Agriculture","BSE","SUBAM","Subam Papers","591","54.8"
"agriculture","Agriculture","BSE","PRABHATAM","Prabhatam Infra Vent","585","--"
"agriculture","Agriculture","NSE","MGEL","Mangalam Global Ent.","482","10.22"
"agriculture","Agriculture","NSE","BBTCL","B&B Triplewall Cont.","476","14.31"
"agriculture","Agriculture","NSE","RAMANEWS","Shree Rama News","474","--"
"agriculture","Agriculture","BSE","MEGAMONT","Megamont","462","--"
"agriculture","Agriculture","NSE","KOTYARK","Kotyark Industries","436","23.2"
"agriculture","Agriculture","BSE","PAKKA","Pakka","424","11.3"
"agriculture","Agriculture","BSE","TRANSCHEM","Transchem","390","58.02"
"agriculture","Agriculture","NSE","SHEETAL","Sheetal Universal","379","32.96"
"agriculture","Agriculture","NSE","ORIENTPPR","Orient Paper & Inds.","361","--"
"agriculture","Agriculture","NSE","HARRMALAYA","Harrisons Malayalam","356","13.12"
"agriculture","Agriculture","BSE","RUCHIRA","Ruchira Papers","306","9.19"
"agriculture","Agriculture","NSE","NATHBIOGEN","Nath Bio-Genes (I)","294","8.02"
"agriculture","Agriculture","NSE","GENUSPAPER","Genus Paper & Boards","293","31.04"
"agriculture","Agriculture","BSE","TIERRA","Tierra Agrotech","287","--"
"agriculture","Agriculture","BSE","SAPPL","Shree AjitPulp&Paper","256","6.17"
"agriculture","Agriculture","NSE","WORTHPERI","Worth Peripherals","255","16.62"
"agriculture","Agriculture","BSE","SCAGRO","SC Agrotech","238","18.5"
"agriculture","Agriculture","NSE","STARPAPER","Star Paper Mills","227","7.32"
"agriculture","Agriculture","BSE","SIPAPER","South India Paper","192","13.03"
"agriculture","Agriculture","NSE","NIKITA","Nikita Greentech","180","16.12"
"agriculture","Agriculture","NSE","SHREYANIND","Shreyans Industries","179","--"
