SECTOR_SLUG,SECTOR_NAME,EXCHANGE,SYMBOL,COMPANY_NAME,MARKET_CAP_CR,PE
"agriculture","Agriculture","NSE","BBTC","Bombay Burmah Trdg.","10,501","8.14"
"agriculture","Agriculture","NSE","JKPAPER","JK Paper","7,456","22.99"
"agriculture","Agriculture","NSE","WSTCSTPAPR","West Coast PaperMill","4,361","18.99"
"agriculture","Agriculture","NSE","KSCL","Kaveri Seed","3,852","15.43"
"agriculture","Agriculture","NSE","JUBLCPL","Jubilant Agri & Con.","3,492","26.89"
"agriculture","Agriculture","NSE","VENKEYS","Venky's (India)","2,362","13.62"
"agriculture","Agriculture","BSE","KSSMART","KS Smart Techno.","2,048","--"
"agriculture","Agriculture","NSE","SESHAPAPER","Seshasayee Paper","1,488","15.03"
"agriculture","Agriculture","NSE","ANDHRAPAP","Andhra Paper","1,253","45.36"
"agriculture","Agriculture","BSE","META","String Metaverse","1,114","9.18"
"agriculture","Agriculture","NSE","TNPL","TN Newsprints &Paper","1,065","4.08"
"agriculture","Agriculture","NSE","FRESHARA","Freshara Agro Export","1,033","28.53"
"agriculture","Agriculture","NSE","BSHSL","Bombay Super Hybrid","939","32.72"
"agriculture","Agriculture","NSE","PDMJEPAPER","Pudumjee Paper Prod.","909","9.98"
"agriculture","Agriculture","BSE","NRAIL","NR Agarwal Inds.","848","13.65"
"agriculture","Agriculture","BSE","APIS","Apis India","744","29.38"
"agriculture","Agriculture","BSE","EMAMIPAP","Emami Paper Mills","684","7.3"
"agriculture","Agriculture","NSE","KUANTUM","Kuantum Papers","656","18.17"
"agriculture","Agriculture","BSE","SATIA","Satia Industries","611","--"
"agriculture","Agriculture","BSE","PRABHATAM","Prabhatam Infra Vent","585","--"
"agriculture","Agriculture","BSE","SUBAM","Subam Papers","569","52.76"
"agriculture","Agriculture","BSE","MEGAMONT","Megamont","517","--"
"agriculture","Agriculture","NSE","RAMANEWS","Shree Rama News","486","--"
"agriculture","Agriculture","NSE","BBTCL","B&B Triplewall Cont.","484","14.55"
"agriculture","Agriculture","NSE","MGEL","Mangalam Global Ent.","477","10.11"
"agriculture","Agriculture","BSE","TRANSCHEM","Transchem","440","65.41"
"agriculture","Agriculture","NSE","SHEETAL","Sheetal Universal","408","35.43"
"agriculture","Agriculture","NSE","KOTYARK","Kotyark Industries","382","20.33"
"agriculture","Agriculture","BSE","TIERRA","Tierra Agrotech","380","--"
"agriculture","Agriculture","NSE","ORIENTPPR","Orient Paper & Inds.","370","--"
"agriculture","Agriculture","NSE","HARRMALAYA","Harrisons Malayalam","355","13.1"
"agriculture","Agriculture","BSE","PAKKA","Pakka","353","9.41"
"agriculture","Agriculture","BSE","RUCHIRA","Ruchira Papers","313","9.41"
"agriculture","Agriculture","NSE","GENUSPAPER","Genus Paper & Boards","312","33.06"
"agriculture","Agriculture","NSE","NATHBIOGEN","Nath Bio-Genes (I)","288","7.87"
"agriculture","Agriculture","BSE","SAPPL","Shree AjitPulp&Paper","260","6.26"
"agriculture","Agriculture","NSE","WORTHPERI","Worth Peripherals","247","16.1"
"agriculture","Agriculture","NSE","STARPAPER","Star Paper Mills","240","7.75"
"agriculture","Agriculture","BSE","SIPAPER","South India Paper","221","15.01"
"agriculture","Agriculture","BSE","SCAGRO","SC Agrotech","204","15.85"
"agriculture","Agriculture","NSE","SHREYANIND","Shreyans Industries","183","--"
"agriculture","Agriculture","NSE","NIKITA","Nikita Greentech","176","15.85"
"agriculture","Agriculture","BSE","INDOUS","Indo US Bio-Tech","176","15.4"
"agriculture","Agriculture","BSE","WESTERNBIO","Ecoboard Industries","169","--"
"agriculture","Agriculture","NSE","RAJPUTANA","Rajputana Biodiesel","152","16.81"
"agriculture","Agriculture","BSE","MSL","Mangalam Seeds","149","17.96"
"agriculture","Agriculture","NSE","AARADHYA","Aaradhya Disposal","142","23.48"
"agriculture","Agriculture","BSE","KANELOIL","Kanel Industries","142","--"
"agriculture","Agriculture","BSE","JKAGRI","JK Agri Genetics","137","--"
"agriculture","Agriculture","NSE","SHEEL","Sheel Biotech","131","11.17"
"agriculture","Agriculture","NSE","MAGNUM","Magnum Ventures","129","--"
"agriculture","Agriculture","BSE","SKPMIL","Shree Krishna Papers","128","5.15"
"agriculture","Agriculture","BSE","RDGAIL","Rukmani Devi Garg","124","13.99"
"agriculture","Agriculture","BSE","NAPL","Naturite Agro Prod.","109","--"
"agriculture","Agriculture","BSE","SCOOBEEDAY","Scoobee Day Garments","107","--"
"agriculture","Agriculture","NSE","OSWALSEEDS","Shree Oswal Seeds","106","8.69"
"agriculture","Agriculture","NSE","NARMADA","Narmada Agrobase","103","28.63"
"agriculture","Agriculture","BSE","GANGAPA","Ganga Papers India","102","57.29"
"agriculture","Agriculture","BSE","BAPACK","B&A Packaging India","98","12.69"
"agriculture","Agriculture","BSE","NATHIND","Nath Industries","93","13.83"
"agriculture","Agriculture","NSE","UTKAL","Utkal Speciality Ind","92","12.55"
"agriculture","Agriculture","NSE","USASEEDS","Upsurge Seeds OfAgri","90","11.97"
"agriculture","Agriculture","BSE","SIMRAN","Simran Farms","84","16.39"
"agriculture","Agriculture","BSE","SPTRSHI","Saptarishi Agro Inds","80","--"
"agriculture","Agriculture","BSE","GPAPL","Gujarat Peanut &Agri","80","10.78"
"agriculture","Agriculture","NSE","RCDL","Rajgor Castor Deriv.","75","5.93"
"agriculture","Agriculture","BSE","DHANWEL","Dhanwel Hybrid Seeds","73","12.01"
"agriculture","Agriculture","BSE","INDRANIB","Indrayani Biotech","70","32.35"
"agriculture","Agriculture","BSE","CELLA","Cella Space","70","6.57"
